NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,TURNOVER %,BLOCKED %,OFFENSIVE REBOUND %,POINTS PER POSSESSION OFFENSE,2PT % DEFENSE,3PT % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFNESE,3PT RATE DEFENSE,OP ASSIST %,TURNOVER % DEFENSE,BLOCK %,DEFENSIVE REBOUND %,POINTS PER POSSESSION DEFENSE,FREE THROW %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
36,Mississippi St.,,,,,,,,,,,,,14.252,102.382,88.13,,49.1,29.9,47.4,24.6,38.9,59.7,18,6.2,39.5,1.04,40.6,23.6,38.2,20.1,45.8,56.6,24.4,14.9,60.5,0.747,59.3,13.814,0.849,,,,,,,41,144,6,,188,276,252,311,148,37,131,49,4,119,10,8,4,19,332,281,29,21,358,4,349,237,36,,,Mississippi St.
37,Iowa St.,,,,,,,,,,,,,14.467,104.701,90.234,,52.4,29.7,49.7,24.3,34.2,56.9,18.6,4.1,35.5,1.062,47.7,27,44.3,45.1,47.6,57.8,30.4,10.6,64.5,0.844,74.7,22.136,0.847,,,,,,,37,100,16,,100,285,170,314,259,62,154,7,39,94,133,34,42,341,344,296,2,110,325,19,80,93,37,,,Iowa St.
38,Texas A&M,,,,,,,,,,,,,14.925,110.909,95.984,,51.6,33.1,50.9,48,37.1,53.6,18.5,7.4,35.7,1.093,44.8,37,49.5,48.4,44.2,58.9,25.7,9.2,64.3,0.983,72.6,14.317,0.841,,,,,,,36,28,77,,122,176,130,8,188,122,146,101,38,57,61,284,171,350,326,311,19,151,326,130,128,226,38,,,Texas A&M
39,Arizona St.,,,,,,,,,,,,,14.044,104.386,90.342,,51.3,32.5,50.3,45,38.6,58.7,19.4,7.1,30.6,1.037,39.7,22.1,37.6,35.1,32.8,50.3,19.8,15.7,69.4,0.837,71,10.17,0.84,,,,,,,42,102,17,,130,206,146,14,157,41,182,85,133,126,6,4,2,246,71,173,141,15,230,17,159,304,39,,,Arizona St.
40,Rutgers,,,,,,,,,,,,,13.621,102.079,88.458,,48.9,31.4,48.4,41.8,27.9,55.9,16.6,9.1,35.3,1.078,44.6,18,37.7,27.9,39.5,50.4,27.4,12.3,64.7,0.741,69.9,6.018,0.838,,,,,,,44,152,8,,192,240,218,28,343,78,64,188,40,68,56,1,3,118,235,176,9,69,321,3,183,350,40,,,Rutgers
41,UAB,,,,,,,,,,,,,14.435,111.349,96.914,,57.1,33,54.7,41.6,32,56,17,9.6,36.9,1.189,45.7,29.4,45.2,31,31.6,42,21.2,12.7,63.1,0.946,76.9,8.373,0.832,,,,,,,38,24,89,,28,181,49,30,301,76,76,214,21,9,78,79,61,176,48,42,84,56,343,88,41,331,41,,,UAB
42,Seton Hall,,,,,,,,,,,,,13.54,105.13,91.59,,46.9,35.2,48.9,51.2,34.3,55,22.4,11,35.1,1.023,45,25.4,42.7,37.1,33.5,43.6,22,10.9,64.9,0.883,69.1,19.306,0.83,,,,,,,45,88,29,,259,114,201,6,256,88,309,269,44,147,65,12,22,275,79,58,60,99,320,35,205,143,42,,,Seton Hall
43,North Carolina St.,,,,,,,,,,,,,14.327,111.281,96.954,,55.8,35.5,54.9,27.5,38.1,47.4,15.4,4,30.5,1.145,46.9,34.2,48.2,29,30.2,50.9,21.6,10.5,69.5,0.907,76.2,16.07,0.83,,,,,,,40,25,90,,40,104,46,256,162,243,31,6,135,25,113,205,131,143,30,189,72,117,227,50,53,196,42,,,North Carolina St.
44,Missouri,,,,,,,,,,,,,14.414,113.81,99.396,,64.4,36.5,60.3,21.7,42.1,64.4,15.8,5.8,33.1,1.229,43,32.8,45.6,35.2,42.5,48.7,29,12.8,66.9,0.924,77.7,2.753,0.826,,,,,,,39,10,134,,3,80,3,340,79,11,41,38,71,3,32,162,70,248,290,140,4,51,291,62,28,362,44,,,Missouri
45,Wisconsin,,,,,,,,,,,,,12.731,101.005,88.274,,39.2,34.8,44.3,28.2,39.2,47.3,14.5,11.5,23.6,0.958,45.6,23.4,41.5,31,38.9,44.1,20.1,6.7,76.4,0.825,73.2,23.232,0.825,,,,,,,51,180,7,,351,126,326,240,141,245,17,286,300,256,74,6,13,176,212,62,124,253,63,13,110,83,45,,,Wisconsin
