Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Seed,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team,,,,,,,,,,,,,,,,,,,,,
Houston,1,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,Houston,,,,,,,,,,,,,,,,,,,,,
Texas,1,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Texas,,,,,,,,,,,,,,,,,,,,,
Gonzaga,1,FALSE,FALSE,TRUE,,TRUE,,TRUE,3,Gonzaga,,,,,,,,,,,,,,,,,,,,,
North Carolina,1,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,North Carolina,,,,,,,,,,,,,,,,,,,,,
Kansas,2,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,Kansas,,,,,,,,,,,,,,,,,,,,,
Indiana,2,TRUE,FALSE,TRUE,,TRUE,,FALSE,3,Indiana,,,,,,,,,,,,,,,,,,,,,
Virginia,2,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,Virginia,,,,,,,,,,,,,,,,,,,,,
Baylor,2,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,Baylor,,,,,,,,,,,,,,,,,,,,,
Duke,3,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Duke,,,,,,,,,,,,,,,,,,,,,
Arkansas,3,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Arkansas,,,,,,,,,,,,,,,,,,,,,
San Diego St.,3,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,San Diego St.,,,,,,,,,,,,,,,,,,,,,
Arizona,3,FALSE,FALSE,TRUE,,TRUE,,TRUE,3,Arizona,,,,,,,,,,,,,,,,,,,,,
