SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,TEAM
11,Notre Dame,N / A,13.6,112.0,98.4,65.7,14.8,111.8,97,0.837,27.58,66.6,52,37.8,75.9,54,27.7,43.1,55.4,22.1,76,4.8,15.5,49.9,31.7,69.3,49.1,22.9,35.3,44.1,24,77.9,9.1,15,1.8,67.74,1.083,1.007,100,100,100,100,Notre Dame
11,Virginia Tech,N / A,17.9,114.3,96.4,62.9,19.9,114.1,94.2,0.901,28.39,64,52.5,39.3,74.3,55.2,23.7,41.4,55.4,28.1,73.9,9.5,17,49.4,31.7,74.4,48.7,25.2,37,50.6,26.1,71.9,9.4,18.8,1.7,65.71,1.111,0.978,100,100,100,100,Virginia Tech
11,Rutgers,N / A,10.9,106.4,95.5,64.9,9.1,104.6,95.5,0.74,29.08,66.1,49.1,33.6,70.1,49.5,26.9,31.4,58.7,29.3,72.9,11.8,17.3,46.5,34,73,48.3,28.8,40.2,52.9,27.1,70.7,8,18.2,-0.7,58.06,1.025,0.993,100,100,100,100,Rutgers
12,New Mexico St.,N / A,10.1,107.8,97.7,66.2,8.6,106,97.4,0.726,14.90,67.3,54.1,33,69.5,52.2,35.4,41.1,53.6,33.3,73.8,12.9,20.7,45.8,30,74.2,45.5,27.8,42.6,48.2,26.2,66.7,6.3,16.9,0.7,79.31,1.05,0.958,100,100,100,100,New Mexico St.
12,Richmond,N / A,9.8,109.1,99.3,66.9,8.3,107.6,99.3,0.716,19.57,67.8,52.2,33.8,72.5,51.5,30.9,42,57.3,22.4,72.8,6.1,14.4,50,34.3,72.3,50.5,23.5,35.7,48.3,27.2,77.6,9.4,18.9,-1.6,65.71,1.057,1.006,100,100,100,100,Richmond
12,Indiana,N / A,14.9,107.6,92.6,67.0,17.9,107.9,90,0.89,29.43,68.2,51.4,33.9,69.9,51.3,33.5,31.8,57.4,26.9,75,14.4,17.3,43.4,32.6,76.1,45.6,30.6,40.2,48,25,73.1,7,17.4,0.3,60.61,1.04,0.959,100,100,100,100,Indiana
12,UAB,N / A,14.0,112.5,98.5,68.8,13.2,110.8,97.6,0.811,13.99,69.9,50.6,38.3,73.9,52.9,29.5,32.7,44.2,33.4,72.6,11.4,16.3,47.5,32.4,71.1,47.9,31.5,37.1,45.9,27.4,66.6,8.7,21.4,-0.1,78.13,1.121,0.954,100,100,100,100,UAB
12,Wyoming,N / A,13.1,110.2,97.1,66.0,11.3,108.5,97.2,0.78,21.54,66.8,54.5,33,72.5,52.4,37,41.8,43.8,25.6,75.9,5.8,16.7,48.3,30.3,72.8,47.2,24.5,38.7,42.4,24.1,74.4,8.5,15.8,1.9,75.00,1.07,0.978,100,100,100,100,Wyoming
13,Akron,N / A,3.5,106.2,102.7,62.1,2.1,104.8,102.7,0.558,9.64,63,52.4,35.6,69.2,52.8,40.1,41.7,48.8,29.1,73.7,8.7,17.7,47.8,34.7,70.3,49.3,26.2,35.3,40.3,26.3,70.9,7.2,17.6,-4.3,70.97,1.082,1.002,100,100,100,100,Akron
13,Chattanooga,N / A,11.3,110.0,98.8,64.6,9.8,108.2,98.4,0.749,14.51,65.6,53.9,34.1,76.6,52.8,27,39.3,46.6,32.7,73.7,6.5,17,52.1,30.6,69.6,49.6,27.3,40.4,44.6,26.3,67.3,10,18,0.2,78.13,1.108,0.997,100,100,100,100,Chattanooga
13,South Dakota St.,N / A,11.4,116.8,105.3,69.4,11.2,114.9,103.7,0.765,11.01,70.7,56.3,44.2,76,59.7,35.2,34.3,47.3,24,75.8,6.3,15.3,50.6,35.2,74.1,51.5,21.3,41.4,43.7,24.2,76,7.1,15.8,1.5,87.50,1.191,1.038,100,100,100,100,South Dakota St.
13,Vermont,N / A,13.1,110.8,97.7,65.0,12.1,109.7,97.6,0.793,8.45,65.9,58.9,36.8,74.7,57.3,26.6,43.1,54.9,24,81.4,7,14.9,45.2,34.4,68.4,47.7,22.6,37.6,43.5,18.6,76,8.9,17.1,-0.8,84.38,1.143,0.928,100,100,100,100,Vermont
14,Colgate,N / A,4.2,108.3,104.1,67.3,3,106.5,103.5,0.581,9.72,68.2,52.7,40.2,69.3,55.9,26.8,42,61.7,26.5,75.2,9.3,16.9,48.2,33.7,67.1,49,24.3,35.9,52.9,24.8,73.5,8.5,16.2,-6.1,66.67,1.11,0.995,100,100,100,100,Colgate
14,Longwood,N / A,2.5,106.1,103.6,66.0,3,105.6,102.6,0.582,8.67,66.8,48,38.6,72.4,51.7,35.9,37.2,52.7,33.6,75.5,6.3,18.2,53.6,31.1,74,50.6,26.8,43.6,49.3,24.5,66.4,11.6,20.1,-2.3,78.57,1.091,0.985,100,100,100,100,Longwood
14,Montana St.,N / A,3.8,104.5,100.7,67.3,2.2,103,100.8,0.562,7.97,68,53.2,37.2,74.8,54.1,40.5,36,47.3,26.7,76.7,10.4,18.5,48.2,32.8,75.8,48.6,36.2,35.9,38.8,23.3,73.3,8.1,18.3,-2.8,78.13,1.084,0.99,100,100,100,100,Montana St.
