NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Rutgers,,,,,,,,,,,,,13.621,102.079,88.458,,48.9,31.4,48.4,41.8,27.9,55.9,16.6,9.1,35.3,1.078,44.6,18,37.7,27.9,39.5,50.4,27.4,12.3,64.7,0.741,69.9,6.018,0.838,100,100,Rutgers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UAB,,,,,,,,,,,,,14.435,111.349,96.914,,57.1,33,54.7,41.6,32,56,17,9.6,36.9,1.189,45.7,29.4,45.2,31,31.6,42,21.2,12.7,63.1,0.946,76.9,8.373,0.832,100,100,UAB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Seton Hall,,,,,,,,,,,,,13.54,105.13,91.59,,46.9,35.2,48.9,51.2,34.3,55,22.4,11,35.1,1.023,45,25.4,42.7,37.1,33.5,43.6,22,10.9,64.9,0.883,69.1,19.306,0.83,100,100,Seton Hall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,North Carolina St.,,,,,,,,,,,,,14.327,111.281,96.954,,55.8,35.5,54.9,27.5,38.1,47.4,15.4,4,30.5,1.145,46.9,34.2,48.2,29,30.2,50.9,21.6,10.5,69.5,0.907,76.2,16.07,0.83,100,100,North Carolina St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Missouri,,,,,,,,,,,,,14.414,113.81,99.396,,64.4,36.5,60.3,21.7,42.1,64.4,15.8,5.8,33.1,1.229,43,32.8,45.6,35.2,42.5,48.7,29,12.8,66.9,0.924,77.7,2.753,0.826,100,100,Missouri
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Wisconsin,,,,,,,,,,,,,12.731,101.005,88.274,,39.2,34.8,44.3,28.2,39.2,47.3,14.5,11.5,23.6,0.958,45.6,23.4,41.5,31,38.9,44.1,20.1,6.7,76.4,0.825,73.2,23.232,0.825,100,100,Wisconsin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,TCU,,,,,,,,,,,,,13.332,106.165,92.833,,54.4,25.6,48.9,36.8,34.3,61.1,17.5,10.5,36.8,1.052,43.3,31.9,44.9,24.7,33.8,50.4,21.7,14.6,63.2,0.887,67.2,9.516,0.824,100,100,TCU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Marquette,,,,,,,,,,,,,13.404,106.738,93.334,,58.9,31.8,53.8,32,45.6,66.3,17.5,8.1,26.5,1.078,45.5,30.1,45.4,31.5,37.8,53,22.1,9.7,73.5,0.884,68.3,19.391,0.824,100,100,Marquette
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Miami FL,,,,,,,,,,,,,13.885,111.586,97.701,,55.3,33.1,53.3,26.7,36.4,50,17.1,6.4,34.9,1.117,51.8,32.2,50.4,30.1,39.2,50,24.2,8.8,65.1,0.967,72.1,16.217,0.822,100,100,Miami FL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Penn St.,,,,,,,,,,,,,13.438,108.017,94.579,,54,42.2,58.7,16.2,50.7,61.1,14.5,9.6,18,1.125,47.1,28.7,45.3,19.2,42.8,55.8,15.6,5,82,0.944,75.4,15.089,0.822,100,100,Penn St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mississippi,,,,,,,,,,,,,13.099,108.275,95.176,,51.5,34.6,51.6,31.4,32.7,50.3,20.9,6.7,39.1,1.069,44.1,37.5,48.1,22.8,32.7,58.5,21.3,10.3,60.9,0.949,68,15.083,0.815,100,100,Mississippi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Saint Louis,,,,,,,,,,,,,13.33,111.397,98.067,,51,32.6,50.3,31,34.1,53.8,15.3,10.8,30.1,1.07,44.2,31.7,45.4,35.4,37,48,13.7,7.4,69.9,1.031,74.4,28.899,0.812,100,100,Saint Louis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton,,,,,,,,,,,,,11.883,103.124,91.241,,51.6,26.8,46.9,35.5,41.1,61.7,22.5,8.2,30.6,0.943,41.9,29.5,42.9,24.6,40.8,50,18.9,12.4,69.4,0.894,68.9,19.384,0.803,100,100,Dayton
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Florida,,,,,,,,,,,,,12.35,107.553,95.203,,49.8,33.1,49.8,33.2,30.6,46.9,15.5,9,25.6,1.044,46.4,37.1,49.4,26.5,32.9,47.3,16.9,15.5,74.4,0.985,73.6,19.235,0.803,100,100,Florida
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Drake,,,,,,,,,,,,,12.433,108.489,96.056,,55,35.8,54.5,36,37.8,45.8,17.8,6.4,25.8,1.093,46.4,27.9,44.7,31.3,35.7,34.6,19.8,9.1,74.2,0.918,80.3,9.2,0.802,100,100,Drake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Washington St.,,,,,,,,,,,,,12.262,107.971,95.709,,47.7,44.4,56.2,32.4,44.8,52.3,17.8,7.1,30.3,1.15,45.4,31.7,46,33,29.7,50.9,15.7,8.8,69.7,0.942,71.4,13.496,0.8,100,100,Washington St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Oregon,,,,,,,,,,,,,12.454,109.781,97.327,,53.6,29.8,49.7,35.1,43.5,51.8,20.2,7.7,36.6,1.032,45.5,34.9,48.7,18.1,46.2,57.8,17.8,16.8,63.4,0.986,61.6,28.843,0.8,100,100,Oregon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Boise St.,,,,,,,,,,,,,11.336,103.103,91.767,,50.7,29.8,48.6,28.7,35.9,37.6,16.4,7.2,25,0.987,46.1,27.5,44.3,30.9,37,39.4,20.3,13.7,75,0.867,69.7,15.26,0.792,100,100,Boise St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Stanford,,,,,,,,,,,,,11.515,104.988,93.473,,53,28.3,48.4,35.1,43.1,54,21.1,9.1,31,0.985,47.7,32.2,47.9,29.5,37.6,50.9,17.8,11.4,69,0.936,68.9,23.702,0.792,100,100,Stanford
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,New Mexico,,,,,,,,,,,,,11.9,109.248,97.348,,53.6,32.6,52.4,43.4,25.6,57.5,13.8,5.1,31.3,1.141,48.1,33.8,49.2,22.2,43,54.9,21.4,11.1,68.7,0.92,72.7,6.79,0.79,100,100,New Mexico
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,LSU,,,,,,,,,,,,,11.298,104.28,92.982,,51.5,38.6,53.8,38.5,37.1,51.7,20.3,4.2,29.5,1.064,47.9,27.5,45.1,33.2,42.4,53.4,24.5,9.7,70.5,0.896,73.8,10.273,0.789,100,100,LSU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,USC,,,,,,,,,,,,,11.348,105.545,94.197,,51.8,32.8,51,36,32,54.6,21.3,8.1,27.7,1.007,42.5,31.8,44.6,29.3,39.9,57.2,16.9,16.9,72.3,0.948,68.1,19.183,0.787,100,100,USC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,St. John's,,,,,,,,,,,,,11.407,106.132,94.725,,52.8,32.9,51.7,28.9,30.2,53.9,18.4,4.9,36.8,1.096,47.6,30.8,47,24.3,42.5,55.5,21.8,11.4,63.2,0.908,69.4,8.997,0.787,100,100,St. John's
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,UC Irvine,,,,,,,,,,,,,10.766,102.271,91.505,,41.7,41.3,48.7,28.9,34.6,54.2,17.7,11.2,33,1.04,43.3,24.3,40.7,44.2,37.6,52.5,17.4,5.8,67,0.863,70.3,19.003,0.782,100,100,UC Irvine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sam Houston St.,,,,,,,,,,,,,10.393,101.203,90.81,,46.6,41,51.6,17.1,33.7,44.5,19.6,9.8,32.4,1.053,47.7,27.4,44.8,30.4,44,50,28.4,7.5,67.6,0.772,73.8,25.124,0.777,100,100,Sam Houston St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Colorado,,,,,,,,,,,,,10.415,104.972,94.557,,49.1,31.6,48.5,34.5,35.9,51.9,19.2,10.5,32.2,1.01,45.8,30.9,46,33.2,35.3,43.3,19.8,9.9,67.8,0.944,67.8,23.664,0.769,100,100,Colorado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Northwestern,,,,,,,,,,,,,9.712,98.388,88.676,,44,31.9,45.6,30.5,41.9,62.7,18.5,12.5,30.4,0.976,37.6,26.3,38.5,24.5,47.9,54.3,23,19.4,69.6,0.774,73.3,15.591,0.768,100,100,Northwestern
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kent St.,,,,,,,,,,,,,10,101.915,91.915,,46.5,36.1,49.5,30.8,39.4,51.3,18.5,9.3,27.9,1.024,42.7,29,43,43,42.7,53.8,28.6,10.8,72.1,0.839,73.9,24.335,0.766,100,100,Kent St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Michigan,,,,,,,,,,,,,10.549,108.932,98.383,,53.7,31.8,51.2,35.3,41.8,53,12.8,7.9,24,1.08,46.4,30.9,46.4,22.2,38.4,45.9,16.1,15.1,76,0.977,66.9,10.973,0.763,100,100,Michigan
